"ET.estat";"i.id0";"i.name.no";"Datakilde";"Startar";"Frekvens (ar)";"Romlig opplosning";"ECT";"Egenskap";"Samsvar m/tilstand";"Ref.verdi";"i.description";"i.cpl";"i.comments.all"
"c: grass";"fj.08";"Kongeørn";"MDir & NINA";"2010";"5";"ingen (nasj)";"B1a";"fb, fg";"p";"??";"The indicator is the estimated number of occupied territories for the period 2015-2019.";"";" ### n51: just mountain ## d.startdate: Data on golden eagle nesting are assembled annually with various methods for diverse regions (incomplete national coverage). National population numbers can be estimated on an irregular basis (first estimate was 2010-2014, second for 2015-2019). ## d.temp.res: Data on golden eagle nesting are assembled annually with various methods for diverse regions (incomplete national coverage). National population numbers can be estimated on an irregular basis (first estimate was 2010-2014, second for 2015-2019). ## r.opt: The reference condition is the same as in the Nature Index where the current population is set at 90% of the reference value. This is based on expert assessments. There are different reference values for northern Norway and southern Norway (south of Nordland). The limit value is set at 60% of the reference value."
"c: grass";"fj.07";"Jerv";"MDir & NINA";"1990";"5";"fylke/region";"B1a";"fb, fg";"p";"mod";"The indicator is the estimated number of individuals per mountain region.";"";" ### n51: just mountain ## d.temp.res: used to be 10 yrs before 2010 ## r.opt: The reference condition for wolverines is calculated from the amount of suitable habitat in the different counties and the potential density of reproductive units (Lande et al. 2003). The limit value is set at 60% of the reference value."
"c: grass";"fj.06";"Fjellrev";"MDir & NINA";"2010";"1";"kommune";"B1a";"fb, fg";"p";"sta (+mod)";"The indicator is a 3-year running mean for the number of reproductive individuals of Arctic fox in each municipality.";"";" ### n51: just mountain ## d.startdate: Older estimates also available (expert evaluation for 1950, observation-based for 1990, 2000, and 2010). ## d.temp.res: NB: temporal autocorrelation due to the moving average ## r.opt: The estimated occurrence in 1950 is set at 10% of the reference condition. Each municiaplity has a different reference value. The limit value is set at 60% of the reference value."
"c: grass";"fj.04";"Lirype";"NINA";"2015";"1";"fylke/region";"B1a";"fb, fg";"p";"exp";"The indicator is the density of adult willow ptarmigans (Lagopus lagopus) per km2 in August, as a mean for the last 5 years";"";" ### i.name.en: or Willow ptarmigan? ## n31: only in northern / higher elevation forests / wetlands ## d.temp.res: NB: temporal autocorrelation due to the moving average ## r.opt: Expert evaluation: the reference density is set to 36 birds per km2 in all suitable willow grouse habitat. The limit value is set to 60% of the reference value."
"c: grass";"fj.05";"Fjellrype";"MDir";"2010";"1";"fylke/region";"B1a";"fb, fg";"p";"exp";"The indicator is the estimated density of adult rock ptarmigans (Lagopus muta) in the breeding season based on point and transect samples";"";" ### i.name.en: or Rock ptarmigan? ## n51: just mountain ## d.temp.res: NB: temporal autocorrelation due to the moving average ## r.opt: Expert: The reference value is the same used in the nature index and varies between counties based on the differences in suitable mountain ridge habitat. The limit value is set at 60% of the reference value."
"c: grass";"vs.18";"Farmland bird communities";"NINA (Chloe Nater), BirdLife Norge, Mdir, NIBIO";"2010";"1";"fylke/region";"B1a";"bm";"p";"sta";"Aggregated index for birds associated with agri environments";"";"EU-relevant; data from TOV-E (NINA/BirdLife) and 3Q (NIBIO) need to be merged ### n51: just lowland ## d.startdate: real agroecosystems possibly only from later? (based on 3Q) ## i.etlink: Hanno: If not merged with vs.13! Otherwise ""fo"""
"c: grass";"vs.17, vs.38";"Butterfly abundance and diversity";"NINA (Jens Åström)";"2009";"1";"fylke/region";"B1b";"bm";"p";"exp";"The indicator quantifies the observed deviation of abundance-weighted species numbers of butterflies from an expert-based expectation";"o.";" ### i.cpl: minor issue: abundance and diversity would be better separated"
"c: grass";"vs.47";"Species richness of flying insects";"NINA (Jens Åström)";"2020";"5";"fylke/region";"B1b";"bm";"p";"??";"The indicator expresses the number of species of flying insects caught in malaise and window traps";"";" ### n31: Forests are so far only monitored in Østlandet ## r.opt: Reference value is currently undefined"
"c: grass";"fj.12, sk.12, vs.06";"Naturindeks (modifisert)";"MDir & NINA";"1990";"5";"fylke/region";"xx";"bm";"p";"na";"These indicators are (possibly modified) ecosystem type specific sub-indices of the Norwegian Nature Index 2020";"a";"This indicator does not fully comply with SEEA EA EC accounts (the use of pre-aggregated indices is discouraged) ### d.temp.res: was 10 yrs before 2010 ## i.etlink: not applicable (multiple)  ## r.opt: not applicable: each component is scaled according to their own ref & limit values -- thus the aggregated index does not need any further rescaling."
"c: grass";"sk.03, vs.30";"Ellenberg F";"MDir";"2019";"1";"fylke/region";"A1";"af";"u";"mod";"The indicator is the vegetation mean Ellenberg score for the affinity of vascular plant species for moisture, weighted with the frequency of each species. This is a two-sided indicator where values both lower and higher than the reference value may indicate deviation from good ecological condition.";"";" ### d.unit: Hanno: at least for wetland and semi-natural systems, the indicator itself is not on ""Ellenberg scale"" but a scaled index value between 0 and 1 ## r.dir: Hanno: while the Ellenberg value is bimodal, the indicator is, strictly speaking, divided into two, with one scaled index value indicating ""too much moisture"" and the other ""too little moisture""; both of these have r.dir = ""p"""
"c: grass";"fj.14, vs.04";"Ellenberg L";"MDir";"2019";"1";"fylke/region";"B3";"af";"u";"mod";"The indicator is the vegetation mean Ellenberg score for the affinity of vascular plant species for light, weighted with the frequency of each species. This is a two-sided indicator where values both lower and higher than the reference value may indicate deviation from good ecological condition.";"d";" ### i.st: Currently elaborated for mountains (each basic type in NiN's main types T3, T7, T14, T22) ## d.unit: Hanno: at least for wetland and semi-natural systems, the indicator itself is not on ""Ellenberg scale"" but a scaled index value between 0 and 1 ## ect.p: Balint: This is intentionally B3.  It is true that there are slight geographical differences in the amount of (total) light available to the vegetation (due to climatic and astronomical factors). But this indicator does not measure that one. Instead it measures how much light the ""focal layer"" of vegetation (typically the herbaceous layer) gets due to the closedness of canopy above it. Thus this is B3. ## r.dir: Hanno: while the Ellenberg value is bimodal, the indicator is, strictly speaking, divided into two, with one scaled index value indicating ""too much light"" and the other ""too little light""; both of these have r.dir = ""p"""
"c: grass";"vs.41";"Ellenberg R";"NINA (Joachim Töpper)";"2019";"1";"fylke/region";"A2";"fg, bm";"u";"mod";"The indicator is the vegetation mean Ellenberg score for the affinity of vascular plant species for acidity, weighted with the frequency of each species. This is a two-sided indicator where values both lower and higher than the reference value may indicate deviation from good ecological condition.";"xd";" ### d.unit: Hanno: the indicator is not on ""Ellenberg scale"" but a scaled index value between 0 and 1 ## r.dir: Hanno:  while the Ellenberg value is bidirectional, the indicator is, strictly speaking, divided into two, with one scaled index value indicating ""too much acidity"" and the other ""too little acidity""; both of these have r.dir = ""p"""
"c: grass";"fj.15";"Vegetasjonens varmekrav";"MDir";"2019";"1";"fylke/region";"A1";"af";"n";"mod";"The indicator is the relative cumulative cover of plant species with heat requirements above a specified threshold, based on cover data of all occurring vascular plant species collected in the ANO programme from selected NiN nature types (T3, T7, T14, T22), and values for heat requirements for Swedish plants from Tyler et al. (2021).";"xd";" ### i.st: Currently elaborated for mountains (each basic type in NiN's main types T3, T7, T14, T22) ## r.dir: Erik: this is a climate response metric with a unilateral (negative) interpretation, assuming that this a clear climate response and the current trends can go in one direction only"
"c: grass";"sk.02, fj.13, vs.03";"Ellenberg N";"MDir";"2019";"1";"fylke/region";"A2";"pr, af";"u";"mod";"The indicator is the vegetation mean Ellenberg score for the affinity of vascular plant species for nitrogen, weighted with the frequency of each species. This is a two-sided indicator where values both lower and higher than the reference value may indicate deviation from good ecological condition.";"";"May be correlated with NDVI (productivity). ### d.unit: Hanno: at least for wetland and semi-natural systems, the indicator itself is not on ""Ellenberg scale"" but a scaled index value between 0 and 1 ## d.startdate: ANO data so far only cover samples from 2019+2020 for forests and 2019-2021 for mountains; the first full cycle of data collection will cover 2019-2023; thereafter repeated in 5-yr cycles. This pertains to all ANO-based indicators. ## d.temp.res: the full ANO update cycle is 5 years (return period to each sampling site), shorter periods may be possible at the expense of accuracy & spatial/thematic resolution (for a subset of sites sampled in the period) ## d.spat.res: recommendations  ## r.dir: Hanno: while the Ellenberg value is bimodal, the indicator is, strictly speaking, divided into two, with one scaled index value indicating ""too much acidity"" and the other ""too little acidity""; both of these have r.dir = ""p"" ## r.opt: Reference (and limit) levels are calculated as an abundance-weighted average indicator values for each the basic types in NiN based on the generalised species lists of each type (see Nybø et al. 2018 and Töpper et al. 2018 for details). These lists describe the expected species composition of each NiN type in its natural (reference) state (Halvorsen et al. 2015), and is calculated for each NIN type by multiplying species’ abundance values with its indicator value, adding these values and then dividing by the sum of the amounts. Bootstrapping was used to calculate the potential uncertainty in generalised species lists: each species list was resampled 10 000 times, and in each round, 1/3 of the species in the species list was randomly sampled. Dominant key species in the ecosystem, i.e., species with abundance values ≥ 6 on a scale from 1-6 were included in each selection. The average indicator value for each bootstrap was calculated, and a density distribution across indicator values was produced as a reference distribution. See Töpper et al. 2018 for more details. The following changes were made to the methodology: Re-sampling 1/3 of the species in the species list instead of 2/3, based on species richness documented in ANO. Using mandatory species with abundance value ≥ 6 instead of ≥ 4 in every sample. The reference distribution is unique to each mapping unit at a scale of 1:5000 in T4 non-wetland forest and T30 riparian forest. | The reference value is reported as the median of the reference distribution."
"c: grass";"vs.41b";"Planteindikator på fosfor";"NINA (Joachim Töpper)";"2019";"1";"fylke/region";"A2";"fg, bm";"u";"mod";"The indicator describes the deviation from the expected plant community (functional signature) that is due to phosphorus availability";"";" ### r.dir: Hanno: while the Ellenberg value is bimodal, the indicator is, strictly speaking, divided into two, with one scaled index value indicating ""too much phosphorus"" and the other ""too little phosphorus""; both of these have r.dir = ""p"""
"c: grass";"vs.41c";"Planteindikator på beite/slått";"NINA (Joachim Töpper)";"2019";"1";"fylke/region";"B3";"fg, bm";"u";"mod";"The indicator describes the deviation from the expected plant community (functional signature) that is due to grazing/mowing";"";" ### n52: BC: Technically, this indicator can be calculated for all ETs (including the natural subtypes), and IMHO it is also meaningful/ salient there as a metric (e.g. for overgrazing by cervids / reindeers), so I added an ""1?"" for the natural subtypes. ## r.dir: Hanno: while the Ellenberg value is bimodal, the indicator is, strictly speaking, divided into two, with one scaled index value indicating ""too much grazing or mowing"" and the other ""too little grazing or mowing""; both of these have r.dir = ""p"""
"c: grass";"vs.41d";"Planteindikator på jordforstyrrelse";"NINA (Joachim Töpper)";"2019";"1";"fylke/region";"B3";"fg, bm";"u";"mod";"The indicator describes the deviation from the expected plant community (functional signature) that is due to soil disturbance";"";" ### r.dir: Hanno: while the Ellenberg value is bimodal, the indicator is, strictly speaking, divided into two, with one scaled index value indicating ""too much disturbance"" and the other ""too little disturbance""; both of these have r.dir = ""p"""
"c: grass";"vs.48";"Total insektsbiomasse";"NINA (Jens Åström)";"2020";"5";"fylke/region";"B1a";"fs";"p";"??";"The indicator expresses the total biomass of flying insects caught in malaise and window traps";"";" ### n31: Forests are so far only monitored in Østlandet ## r.opt: Reference value is currently undefined"
"c: grass";"fj.03";"Smågnagere";"MDir";"1990";"1";"fylke/region";"B1a";"fb, fg, fs";"p";"mod";"The indicator is the average abundance for population peaks in the small rodent community (mainly of lemmings and root voles) in mountain areas over the last 10-year period (currently 2010-2019).";"";"Small rodents is one of 28 indicators in the ecosystem condition indicator |  nature index for mountains (modified). ### n51: NIBIO: future monitoring will only cover low and mid alpine zones ## d.startdate: Monitoring of small mammals by camera traps started in 2023. Re-calibration with the old snaptrapping data will be needed. ## d.temp.res: NB: temporal autocorrelation due to the moving average ## r.opt: The reference value is based on idealized stock variation with empirical basis from long -term studies and observations from Finse and other mountain areas. The reference value varies between 10 regions. The limit value is set at 60% of the reference value."
"c: grass";"fj.02";"Rein";"MDir & NINA";"2017";"1";"ingen (nasj)";"B1a";"fb, fg, fs";"u";"mod";"The indicator is given as the density of wild or domestic reindeer for all defined reindeer areas based on the total populations within these areas and the size of the areas.";"o.";"The combination of an endangered wild animal and a domestic animal in a single indicator may make the interpretation of the values challenging. ### i.cpl: The combination of an endangered wild animal and a domestic animal in a single indicator may make the interpretation of the values challenging ## n51: just mountain ## d.temp.res: Annually for domestic reindeer, sporadically for wild reindeer. ## d.spat.res: reindeer areas  ## r.opt: The reference value is an estimated density of wild reindeer for all mountain areas under the reference condition. This reference density is based on the empirical relationship between the density of the management targets for the wild reindeer populations (Kjørstad et al. 2017) and the variation in the terrain in wild reindeer areas (measured by the Terrain Ruggedness Index (TRI), Riley et al. 1999), given by the formula Reference density = 1.0759 * EXP (-0.001 * TRI). This relationship is assumed to apply to all mountain areas, including domestic reindeer areas and mountain areas currently without reindeer. The total reference population for wild reindeer can be calculated given the area of the mountain areas and the areas' average TRI values. In addition, we have assumed that natural populations of large predators will lead to a somewhat lower density in the reference condition than is specified for the management targets given in Kjørstad et al. (2017). The reference density given by the formula above is therefore reduced by 25%. This is a two-sided indicator, where both low and high reindeer populations can indicate a deviation from the reference condition. Lower and upper limit values have therefore been determined for the indicator, given as 60% and 200% of the reference value, respectively. An asymmetric scaling function is based on the assumption that lower densities have greater effects on the ecosystem than higher densities."
"c: grass";"sk.10";"Store hjortedyr";"MDir & NINA";"1990";"1";"kommune";"B1a";"fb";"u";"mod";"The indicator is a composite index (‘elk equivalents’) for the estimated abundance of elk and red deer per municiplaity, adjusted for their metabolic weights.";"o.";" ### i.cpl: The combination of an endangered wild animal and a domestic animal in a single indicator may make the interpretation of the values challenging ## n51: just lowland ## d.temp.res: used to be 10 yrs before 2010 ## i.etlink: n31 & n32 can't be distiguished ## r.dir: Currently, this indicator is treated differetly from other two-sided indicators: if the indicator estimate is lower than the reference value, the indicator is scaled towards the lower limit value, whereas indicator estimates higher than the reference value are scaled towards the upper limit value. Other two-sided indicators (Ellenberg F, Ellenberg N, and NDVI) are practically counted as ""two indicators"" in the aggregation of the Nature Index. Alternative approaches should be considered, especially in light of possible updated data (cf. Nybø et al. 2018, Framstad et al. 2021). ## r.opt: Empirically supported expert knowledge: Demography + habitat availability models. Reference values for elk and red deer in the Norwegian Nature Index 2020 are estimated as the number of individuals per km2 under the climatic treeline for each county. These reference values are calculated based on the amount of suitable area and potential density per species given natural populations of large predators. The reference values ​​reported for the indicators in the Norwegian Nature Index are also used for the assessment of ecological condition (www.naturindeks.no). Following the simplified approach described in Nybø et al. (2018; chapter 3.2 and 6.3), the lower limit for good condition is set to a 0,6* the reference value. An upper limit value is applied for cervid populations that are so large that they can have harmful effects on the vegetation."
"c: grass";"vs.16, vs.37";"Bumblebee abundance and species richness";"NINA (Jens Åström)";"2009";"1";"fylke/region";"B1b";"bm";"p";"exp";"The indicator quantifies the observed deviation of abundance-weighted species numbers of bumblebees from an expert-based expectation";"o.";" ### i.cpl: minor issue: abundance and diversity would be better separated"
"c: grass";"vs.45, vs.72";"Antall arter av pollinerende insekter";"NINA (Jens Åström), NIBIO (3Q)";"2020";"5";"fylke/region";"B3";"fs";"p";"??";"The indicator expresses the number of species of pollinating insects caught in malaise and window traps";"";" ### n31: Forests are so far only monitored in Østlandet ## r.opt: Reference value is currently undefined"
"c: grass";"vs.50";"Antall arter møkkbiller";"NINA (Jens Åström)";"2020";"5";"fylke/region";"B1b";"fs";"p";"??";"The indicator expresses the number of species of dung-associated insects caught in malaise and window traps";"";" ### n31: Forests are so far only monitored in Østlandet ## r.opt: Reference value is currently undefined"
"c: grass";"vs.05, vs.28";"Gjengroing";"NINA (Zander Venter)";"2010";"Inf";"~10 m";"B2";"fs";"n";"mdc";"The indicator measures encroachment (tree regrowth) by quantifying vegetation height of (previously) open ecosystems using remote sensing";"e.";" ### i.cpl: The presence of shrubs and trees is an ET-defining chararcteristic, which leads to interference with extent accounts (i.e. encroachment also leads to ecosystem conversion) ## d.temp.res: Hanno: It is uncertain whether the current implementation (which uses LiDAR data from 2010 to 2021) will be repeated at all. This would require that LiDAR is repeated. Alternatively, different data sources would have to be used in the future (satellite data). ## d.spat.res: Hanno: NiN mapping units are used, which have a precision of 5 m to 50 m"
"c: grass";"sk.01";"Normalisert årlig maksimal NDVI";"NASA*";"2000";"1";"~100 m";"B2";"pr";"u";"mdc";"The indicator is the deviation of the annual maximum NDVI value per MODIS pixel from a modelled ""reference value"" for that pixel. This is a two-sided indicator where values both lower and higher than the reference value may indicate degraded ecosystem condition.";"";"The normalisation (using pixelwise modelled reference states) as explained here is optimised for forests -- adaptation to other ETs might require further research ### d.temp.aggr: the instantaneous NDVI values definitely need some ""intra-annual aggregation"" to get a meaningful EC variable  IndiPri talks about ""annual max values""  TODO: explore & discuss what is being / can be done here ## r.opt: The raw NDVI values are ""pre-standardised"", using modelled NDVI values based on predicted PNV (Potential Natural Vegetation) forest subtypes (Hengl et al. 2018). Protected areas across Norway are used to define a reference NDVI state for each subtype, and data for NDVI (response) and climatic + edaphic (explanatory) variables in reference areas are used to train a Random Forest regression model. This model is used to predict potential NDVI (pNDVI) for each subtype outside of protected areas. The reference condition is then defined via the difference between the pNDVI and the observed NDVI (dNDVI). See https://github.com/NINAnor/pNDVI-nature-index for more details on data inputs.   The reference value is equivalent to the median dNDVI in protected areas of the region of interest (county or municipality)."
"c: grass";"fj.01";"NDVI flerårig trend";"NASA*";"2000";"1";"~100 m";"B2";"pr, fd";"u";"zer";"The indicator is the rate of increase in mean NDVI values per pixel for the growing season (June-Sep) over the period 2000-2019";"t";"This indicator does not fully comply with SEEA EA EC accounts (temporal reference: the value of the indicator should pertain (only) to the reference year/period) ### i.st: status is ""3"" for fjell,  but the disaggreagation to the relevant ETs needs better ET maps and further work ## r.dir: NIBIO: any regression deviation from 0 is negativ ## r.opt: Reference value set to 0, i.e. no systematic change in NDVI over time"
"c: grass";"vs.64";"Slitasje";"NINA (Anders Kolstad)";"2019";"5";"fylke/region";"B3";"pr";"n";"zer";"The indicator represents anthropogenic damage or disturbance to soils and vegetation, typically from recreational activities and off-road vehicles.";"";"The indicator is based on the NiN variables 7TK, PRTK, 7SE and 7SL. Not decided whether this will be included in the final set of indicators. ### n22: NIBIO: Also relevant for n22 due to excessive livestock trampling BC: OK; but do we have data from that? (from ANO, GUK... or 3Q?)"
"c: grass";"vs.11, vs.71";"Biomasse klovdyr";"NTNU (James Speed)";"1999";"10";"kommune";"B3";"fb";"u";"mod";"The indicator compares the observed and expected biomass of ungulates (both wild and livestock), where the expectation is based on plant biomass";"";"expected biomass estimates are derived from global relationships between plants and vertebrate herbivores (Fløjgaard et al. 2022) | NIBIO: not relevant to include livestock in this indicator, particularly for natural ecosystems like forests; doubtful if global relationships are meaningful for specific ecosystem types ### i.name.en: Hanno:  or Ungulate:plant biomass relationship  Balint: I prefer this one...  Or even something like: ""(Total) grazing"" (which is closer to what you actually quantify) ## i.etlink: cc?"
"c: grass";"vs.74";"Biomasse rovdyr";"NTNU (James Speed)";"1907";"10";"kommune";"B3";"fb";"u";"mod";"The indicator compares the observed and expected biomass of carnivores, where the expectation is based on ungulate biomass";"";"expected biomass estimates are derived from global relationships between vertebrate prey and predators (Hatton et al 2015) | NIBIO: doubtful if global relationships are meaningful for specific ecosystem types ### i.etlink: cc?"
"c: grass";"fj.11, vs.02";"Konnektivitet";"Statens kartverk*/NIBIO";"2021";"Inf";"kommune";"C1";"lm";"p";"mod";"The indicator is the mean distance from the centre of each mountain area to the nearest infrastructure object (roads, power lines, buildings etc), agricultural area or forest area";"qo.";"There are several problems with this variable: it has several unfavourable mathematical properties (numerical instabilities: big response to small changes, number of patches to average may also change), it cannot be linked to the relevant subtypes of mountain ETs, etc. In addition there are problems with the name, and similar (pressure-like) variables are discuraged by SEEA EA.  | Possibly correlated with the indicator of area without technical intervention. ### i.cpl: There are several problems with this variable: it has several unfavourable mathematical properties (numerical instabilities: big response to small changes, number of patches to average may also change), it cannot be linked to the relevant subtypes of mountain ETs, etc. In addition there are problems with the name, and similar (pressure-like) variables are discuraged by SEEA EA.   ## i.st: status is ""1"" for fjell, but the disaggreagation to the relevant ETs needs better ET maps and further work ## n51: NIBIO: N50 does not distiguish between various open ecosystems; data from AR5/AR50 wil be needed, but does not distingush well between subtypes (not at all between natural/semi-natural); relevance for EC of n51-n55 should be clarified ## n71: Hanno: not applied to or tested in water, as far as i know (HS) ## d.temp.res: irregular (currently snapshot) ## r.opt: The reference value is the average distance from the mountain areas to the nearest forest polygon, where the mountain areas are not divided or affected by infrastructure. The limit value is set at 60% of the reference value."
"c: grass";"sk.13, fj.10, vs.02";"Areal uten tekniske inngrep";"MDir*/NIBIO";"1988";"5";"kommune";"C1";"lm";"p";"zer";"The indicator is the proportion of the area of the given ET that is at least 1 km away from major technical infrastructure";"";"NIBIO: may be seen as a reciprocal pressure indicator; INON + N50 does not distinguish between various open ecosystems; not defined for aquatic ecosystems | BC: why not? IMHO if this is a ""reverse pressure"" then it can very well be calculated for freshwater ETs, too. (However: the way how this indicator is calculated could probably be improved, and (as this discussion also suggests) its name could also be improved (to something more intuitive / less misleading).) ((E.g. to ""share (of area) outside disturbance zone of major technical infrastructure"", or even ""mean distance to nearest technical infrastructure"")) ### n51: INON + N50 does not distiguish between various open ecosystems; data from AR5/AR50 wil be needed, but does not distingush well between subtypes (not at all between natural/semi-natural) ## d.temp.res: used to be 10 ## r.opt: A reference state, defined as intact nature, entails a complete absence of modern infrastructure such as roads, railways, power lines, buildings etc. | The reference value of the indicator assumes that the entire area (100%) of the ecosystem is <1 km from infrastructure. Larger contiguous natural areas are important as habitats and migration corridors for species, especially those that are adapted to large areas that are in or close to their natural state, as well as species that are particularly vulnerable to edge effects or other disturbances. Intact nature is also important for nature's ability to adapt to climate change, e.g., infrastructure creates additional barriers for the movement of species to areas with more suitable climates. However, the importance of intact nature for biodiversity will also depend on other impacts on the ecosystem. How much the proportion of intact nature can be reduced before there are negative effects on ecological condition depends on several factors, e.g., how large the area is in the first place, how the loss of intact nature is distributed, and the natural degree of fragmentation for the relevant ecosystem in the region. Various studies indicate that fragmentation that reduces the original area down to 20-40% will have a greater negative effect on affected species than a reduction in habitat alone would suggest. If we assume that this represents a boundary between moderate and poor condition, and that the relationship between the indicator and ecological condition is linear down to this boundary, the limit value for good condition can be set to 60% of the reference value. Also see the reasoning in chapter 3.2 and 4.1 in Nybø et al. 2018."
"c: grass";"nb.12";"Organisk jordkarbon";"NIBIO";"2024";"1";"fylke/region";"A2";"af";"p";"mod";"mean weight of SOC per hektar";"";"forest soil monitoring startet in 2023, agri soil monitoring (JORDVAAK) is not yet definitely decided; reference level to be decided ### "
"c: grass";"nb.13";"C/N-forholdet i jord";"NIBIO";"2024";"1";"fylke/region";"A2";"af";"u";"mod";"weight ratio of C to N";"";"forest soil monitoring startet in 2023, agri soil monitoring (JORDVAAK) is not yet definitely decided; reference level to be decided ### "
"c: grass";"nb.16";"Funksjonelle plantegrupper";"Mdir/NINA";"2019";"5";"fylke/region";"B3";"fg";"u";"mod";"Exact definition and metric to be decided";"d";"metric and ref.level to be decided ### i.description: The indicandum is"
"c: grass";"nb.19";"Andel med økologisk drift";"Ldir";;"1";"kommune";"B3";"fs, lm";"p";"zer";"proportion of cultivated area + innmarksbeite under ecological management";"r";"reporting as part of government support scheme ### "
