"ch43tab";"i.id0";"ET";"i.name.no";"Status";"Datakilde";"Startar";"Frekvens (ar)";"Romlig opplosning";"ECT";"ECT2";"Egenskap";"Dir";"Ref.verdi";"Merknad";"i.description";"i.cpl.issues";"i.comments.all"
"opn";"sk.04, fj.09, vs.29";"g h l k f";"Fravær av fremmede planter";"3";"MDir";"2020";"3";"fylke/region";"B1a";"B1a";"fs, bm";"p";"abs";"dekker delvis EUs variabel";"A (reversed) cover of alient plants: the indicator is the proportion of the area without such alien species (i.e., 100% - total cover (%) of alien species). The indicator used for in the forest and mountains is different from the one developed for wetlands, semi-natural and naturally open ecosystems. The first one is based on ANO data, while the second one uses mainly nature mapping data and a special stratified aggregation technique.";"";" ### d.temp.res: ALK: The original units are %cover recorded along an ordinal four-step scale. ## d.temp.aggr: ALK: The data series starts in 2018, but the years 2018-2022 are pooled, and then the indicator is either set to represent 2020 or 2022 ## d.spat.res: the full ANO update cycle is 5 years (return period to each sampling site), shorter periods may be possible at the expense of accuracy & spatial/thematic resolution (for a subset of sites sampled in the period) ## r.hea: for historical reasons the indicator is the _inverted cover_ (absence) of invasies, which is thus positive. As the SEEA EA can nicely handle negative indicators, and the _cover_ of invasives gives a simpler & more intuitive indicator, it might make sense to use the simpler version in the future."
"opn";"sk.03, vs.30";"g h l k f";"Vegetasjon og fuktighet";"2";"MDir, NINA (Anders Kolstad)";"2019";"1";"fylke/region";"A1";"A1, B1a, B1a";"af";"u";"mod";"ANOs plantedata er kanskje lite relevante for lite vegetert mark og kyst";"The indicator is the mean ""moisture affinity score"" (Tyler et al. 2021) of the vascular plant species in the ground layer, weighted with the frequency of each species. This is a two-sided indicator where values both lower and higher than the reference value may indicate deviation from good ecological condition. (Previous versions of this indicator used in the forest assessment relied on Ellenberg F scores.)";"";" ### n32: NIBIO: additonal data for n22 & n51 from 3Q ## d.startdate:  _____________ See cell note [[101]]  The cell note will appear in the sidebar if you have the Cell Notes add-on installed and opened.For help see bit.ly/cell_notes ## d.temp.res: Previous versions (skog, fjell...) used the slightly diffferent Ellenberg scales ## d.temp.aggr: ANO data so far only cover samples from 2019+2020 for forests and 2019-2021 for mountains; the first full cycle of data collection will cover 2019-2023; thereafter repeated in 5-yr cycles. This pertains to all ANO-based indicators. ## d.spat.res: the full ANO update cycle is 5 years (return period to each sampling site), shorter periods may be possible at the expense of accuracy & spatial/thematic resolution (for a subset of sites sampled in the period) ## r.hea: Hanno: technically, this metric is divided into two one-sided indicators (one for ""too much..."" and the other one for ""too little..."")"
"opn";"fj.14, vs.04";"g h l k f";"Vegetasjon og lys";"2";"MDir, NINA (Anders Kolstad)";"2019";"1";"fylke/region";"B3";"B3, B1a, B1a";"fg";"u";"mod";"ANOs plantedata er kanskje lite relevante for lite vegetert mark og kyst";"The indicator is the mean ""light affinity score"" (Tyler et al. 2021) of the vascular plant species in the ground layer, weighted with the frequency of each species. This is a two-sided indicator where values both lower and higher than the reference value may indicate deviation from good ecological condition.  (Previous versions of this indicator used in the mountain assessment relied on Ellenberg L scores.)";"unclear directionality (d)";" ### i.name.no: Currently elaborated for mountains (each basic type in NiN's main types T3, T7, T14, T22) ## n32: NIBIO: additonal data for n22 & n51 from 3Q ## d.startdate:  _____________ See cell note [[101]]  The cell note will appear in the sidebar if you have the Cell Notes add-on installed and opened.For help see bit.ly/cell_notes ## d.temp.res: Previous versions (skog, fjell...) used the slightly diffferent Ellenberg scales ## d.temp.aggr: ANO data so far only cover samples from 2019+2020 for forests and 2019-2021 for mountains; the first full cycle of data collection will cover 2019-2023; thereafter repeated in 5-yr cycles. This pertains to all ANO-based indicators. ## d.spat.res: the full ANO update cycle is 5 years (return period to each sampling site), shorter periods may be possible at the expense of accuracy & spatial/thematic resolution (for a subset of sites sampled in the period) ## ect.s2: Balint: This is intentionally B3.  It is true that there are slight geographical differences in the amount of (total) light available to the vegetation (due to climatic and astronomical factors). But this indicator does not measure that one. Instead it measures how much light the ""focal layer"" of vegetation (typically the herbaceous layer) gets due to the closedness of canopy above it. Thus this is B3. ## r.hea: Hanno: technically, this metric is divided into two one-sided indicators (one for ""too much..."" and the other one for ""too little..."")"
"opn";"vs.41";"g h l k f";"Vegetasjon og pH";"2";"MDir, NINA (Anders Kolstad)";"2019";"1";"fylke/region";"A2";"A2, B1a, B1a";"af";"u";"mod";"ANOs plantedata er kanskje lite relevante for lite vegetert mark og kyst";"The indicator is the mean ""acidity affinity score"" (Tyler et al. 2021) of the vascular plant species in the ground layer, weighted with the frequency of each species. This is a two-sided indicator where values both lower and higher than the reference value may indicate deviation from good ecological condition.";"lack of sensitivity (stable) (x), unclear directionality (d)";" ### n32: NIBIO: additonal data for n22 & n51 from 3Q ## d.temp.aggr: ANO data so far only cover samples from 2019+2020 for forests and 2019-2021 for mountains; the first full cycle of data collection will cover 2019-2023; thereafter repeated in 5-yr cycles. This pertains to all ANO-based indicators. ## d.spat.res: the full ANO update cycle is 5 years (return period to each sampling site), shorter periods may be possible at the expense of accuracy & spatial/thematic resolution (for a subset of sites sampled in the period) ## r.hea: Hanno: technically, this metric is divided into two one-sided indicators (one for ""too much..."" and the other one for ""too little..."")"
"opn";"fj.15";"g h l k f";"Vegetasjonens varmekrav";"3";"MDir, NINA (Anders Kolstad)";"2019";"1";"fylke/region";"A1";"A1, B1a, B1a";"af";"n";"mod";"ANOs plantedata er kanskje lite relevante for lite vegetert mark og kyst";"The indicator is the relative cumulative cover of plant species with heat requirements above a specified threshold, based on cover data of all occurring vascular plant species collected in the ANO programme from selected NiN nature types (T3, T7, T14, T22), and values for heat requirements for Swedish plants from Tyler et al. (2021).";"lack of sensitivity (stable) (x), unclear directionality (d)";" ### i.name.no: Currently elaborated for mountains (each basic type in NiN's main types T3, T7, T14, T22) ## d.startdate:  _____________ See cell note [[101]]  The cell note will appear in the sidebar if you have the Cell Notes add-on installed and opened.For help see bit.ly/cell_notes ## d.temp.res: Previous versions (skog, fjell...) used the slightly diffferent Ellenberg scales ## d.temp.aggr: ANO data so far only cover samples from 2019+2020 for forests and 2019-2021 for mountains; the first full cycle of data collection will cover 2019-2023; thereafter repeated in 5-yr cycles. This pertains to all ANO-based indicators. ## d.spat.res: the full ANO update cycle is 5 years (return period to each sampling site), shorter periods may be possible at the expense of accuracy & spatial/thematic resolution (for a subset of sites sampled in the period) ## r.hea: Erik: this is a climate response metric with a unilateral (negative) interpretation, assuming that this a clear climate response and the current trends can go in one direction only"
"opn";"sk.02, fj.13, vs.03";"g h l k f";"Vegetasjon og nitrogen";"2";"MDir, NINA (Anders Kolstad)";"2019";"1";"fylke/region";"A2";"A2, B1a, B1a";"af";"u";"mod";"ANOs plantedata er kanskje lite relevante for lite vegetert mark og kyst";"The indicator is the mean ""nitrogen affinity score"" (Tyler et al. 2021) of the vascular plant species in the ground layer, weighted with the frequency of each species. This is a two-sided indicator where values both lower and higher than the reference value may indicate deviation from good ecological condition.  (Previous versions of this indicator used in the forest & mountain assessments relied on Ellenberg N scores.)";"";"May be correlated with NDVI (productivity). ### n32: NIBIO: additonal data for n22 & n51 from 3Q ## d.startdate:  _____________ See cell note [[101]]  The cell note will appear in the sidebar if you have the Cell Notes add-on installed and opened.For help see bit.ly/cell_notes ## d.temp.res: Previous versions (skog, fjell...) used the slightly diffferent Ellenberg scales ## d.temp.aggr: ANO data so far only cover samples from 2019+2020 for forests and 2019-2021 for mountains; the first full cycle of data collection will cover 2019-2023; thereafter repeated in 5-yr cycles. This pertains to all ANO-based indicators. ## d.spat.res: the full ANO update cycle is 5 years (return period to each sampling site), shorter periods may be possible at the expense of accuracy & spatial/thematic resolution (for a subset of sites sampled in the period) ## r.hea: Hanno: technically, this metric is divided into two one-sided indicators (one for ""too much..."" and the other one for ""too little..."")"
"opn";"vs.41b";"g h l k f";"Planteindikator på fosfor";"2";"MDir, NINA (Joachim Töpper)";"2019";"1";"fylke/region";"A2";"A2, B1a, B1a";"fg, bm";"u";"mod";"ANOs plantedata er kanskje lite relevante for lite vegetert mark og kyst";"The indicator describes the deviation from the expected plant community (functional signature) that is due to phosphorus availability";"";" ### n32: NIBIO: additonal data for n22 & n51 from 3Q ## r.hea: Hanno: technically, this metric is divided into two one-sided indicators (one for ""too much..."" and the other one for ""too little..."")"
"opn";"vs.41c";"g h";"Planteindikator på beite/slått";"2";"MDir, NINA (Joachim Töpper)";"2019";"1";"fylke/region";"B3";"B3, B1a, B1a";"fg, bm";"u";"mod";"";"The indicator describes the deviation from the expected plant community (functional signature) that is due to grazing/mowing";"";" ### n32: NIBIO: additonal data for n22 & n51 from 3Q ## n54: BC: Technically, this indicator can be calculated for all ETs (including the natural subtypes), and IMHO it is also meaningful/ salient there as a metric (e.g. for overgrazing by cervids / reindeers), so I added an ""1?"" for the natural subtypes. ## r.hea: Hanno: technically, this metric is divided into two one-sided indicators (one for ""too much..."" and the other one for ""too little..."")"
"opn";"vs.41d";"g h l k f";"Planteindikator på jordforstyrrelse";"2";"MDir, NINA (Joachim Töpper)";"2019";"1";"fylke/region";"B3";"B3, B1a, B1a";"fg, bm";"u";"mod";"ANOs plantedata er kanskje lite relevante for lite vegetert mark og kyst";"The indicator describes the deviation from the expected plant community (functional signature) that is due to soil disturbance";"";" ### n32: NIBIO: additonal data for n22 & n51 from 3Q ## r.hea: Hanno: technically, this metric is divided into two one-sided indicators (one for ""too much..."" and the other one for ""too little..."")"
"opn";"vs.64";"g h l k f";"Slitasje";"2";"NINA (Anders Kolstad)";"2019";"5";"annet";"B3";"B3";"pr";"n";"abs";"påvirkning";"The indicator represents anthropogenic damage or disturbance to soils and vegetation, typically from recreational activities and off-road vehicles.";"";"The indicator is based on the NiN variables 7TK, PRTK, 7SE and 7SL. Not decided whether this will be included in the final set of indicators. ### n32: NIBIO: Also relevant for n22 due to excessive livestock trampling AK: OK; but livestock trampling is not recorded with the underlying NiN variables ## d.them.scope: ALK: combinations (intersections) between regions and a four-tiered infrastructure index"
"opn";"fj.04";"h f";"Lirype";"3";"NINA";"2015";"1";"fylke/region";"B1a";"B1a";"fb, fg";"p";"exp";"";"The indicator is the density of adult willow ptarmigans (Lagopus lagopus) per km2 in August, as a mean for the last 5 years";"";" ### i.description: or Willow ptarmigan? ## n41: BC: can also occur in northern / higher elevation forests / wetlands HS/EF: maybe, but not specific enough there ## d.startdate: The dataset is based on transect sampling in willow grouse habitat in August. As of 2020, there are 181 assessment areas in 75 municipalities (Nilsen & Rød-Eriksen 2020).  ## d.spat.res: NB: temporal autocorrelation due to the moving average"
"opn";"fj.05";"f";"Fjellrype";"3";"MDir";"2010";"1";"fylke/region";"B1a";"B1a";"fb, fg";"p";"exp";"";"The indicator is the estimated density of adult rock ptarmigans (Lagopus muta) in the breeding season based on point and transect samples";"";" ### i.description: or Rock ptarmigan? ## n53: just mountain ## d.startdate: The data come from transect sampling in fixed quadrats in the mountains in the breeding season; for all ecosystems, a total of just under 500 quadrats are stratified randomly selected from a systematic grid of Norway (Kålås et al. 2021). The indicator is a relative abundance index where annual values are scaled to the abundance in 2010, as a mean for the last 5 years. Spatially representative due to a systematic data collection design.  ## d.spat.res: NB: temporal autocorrelation due to the moving average"
"opn";"vs.18";"j+Å";"Hekkefugl i jordbrukslandskapet";"1";"NINA (Chloe Nater), BirdLife Norge, Mdir, NIBIO";"2010";"1";"fylke/region";"B1a";"B1a, B1b";"bm";"p";"sta";"arter tilordnet konseptuelt til åpent kulturlandskap";"Aggregated index for birds associated with open lowland  ecosystem types (croplands, grasslands, heathlands).";"";"A combined index for all open lowland (crop + gras + heath), EU-relevant, data from TOV-E (NINA/BirdLife) and 3Q (NIBIO) need to be merged ### n53: just lowland ## n54: BC&ALK: Why ""farmaland birds"" can typically live in any open areas, n52 & n54 in Norway are typically confined to mountains... so this indicator is probably less relevant there. ## n6: BC&ALK: Why ""farmaland birds"" can typically live in any open areas, n52 & n54 in Norway are typically confined to mountains... so this indicator is probably less relevant there. ## d.startdate: NIBIO: 3Q monitoring can also be relevant for this indicator in the future ## d.temp.aggr: real agroecosystems possibly only from later? (based on 3Q) ## d.them.scope: ALK: just two big regions (southern and northern Norway)"
"opn";"vs.13";"k";"Hekkefugl i våtmark";"1";"NINA (Chloe Nater), BirdLife Norge, Mdir, NIBIO";"2010";"1";"fylke/region";"B1a";"B1a, B1b";"bm";"p";"sta";"bør avgrenses til kystvåtmark";"Aggregated index for birds associated with wetlands";"";"Hanno: It seems to me that vsa.13 and vsa.18 are the same indicator, only for different ecosysstems. I will know more in 2 weeks or so, when the project has delivered code. ### d.startdate: EF: the standard terrestrial bird monitoring (TOV-E) won't provide representative data for this group but BirdLife may have other monitoring data ## d.temp.res: BC: filled in based on the Farmland birds ## d.them.scope: ALK: just two big regions (southern and northern Norway) ## r.dir: If not merged with vs.18! Otherwise ""fo"""
"opn";"fj.03";"f";"Smågnagere";"3";"MDir";"1990";"1";"fylke/region";"B1a";"B1a, B3";"fb, fg, fs";"p";"mod";"";"The indicator is the average abundance for population peaks in the small rodent community (mainly of lemmings and root voles) in mountain areas over the last 10-year period (currently 2010-2019).";"";"Small rodents is one of 28 indicators in the ecosystem condition indicator |  nature index for mountains (modified). ### n53: EF: only relevant/covered in the mountains NIBIO: future monitoring will only cover low and mid alpine zones ## d.startdate: Trapping data of small rodents from selected monitoring sites, including the sites of the terrestrial nature monitoring program (TOV), Finse, and published data series in Ehrich et al. (2020), supplemented with other quantitative and qualitative information about the occurrence of small rodent population peaks in mountain areas. Most data are actual catch data coming from a limited number of ~1 km2 study sites, representative for the mountain areas (mainly the low alpine zone) of the country (excluding coastal mountains in the west and north). Data are processed in the same way as for the Nature Index, aggregating data and qualitative information for groups of counties to represent regional data. ## d.temp.aggr: Monitoring of small mammals by camera traps started in 2023. Re-calibration with the old snaptrapping data will be needed. ## d.spat.res: BC: moving average aggregation conflicts with accounting principles, this shd be probably longer than 1 yr"
"opn";"fj.08";"f";"Kongeørn";"3";"MDir & NINA";"2010";"5";"ingen (nasj)";"B1a";"B1a";"fb, fg";"p";"exp";"";"The indicator is the estimated number of occupied territories for the period 2015-2019.";"";" ### n53: just mountain ## d.startdate: The calculation is based on data from Rovdata (https://rovdata.no/). Golden eagle territories have been registered for several years and documented in Rovdata. Some of these territories are monitored. Monitoring is coordinated by SNO and it is divided into one intensive and one extensive programme. Data collection is carried out by SNO and amateurs (see https://rovdata.no/Kongeørn.aspx). These data are used to run models to estimate how many of the total number of territories are inhabited. The indicator is the estimated number of occupied territories. The extensive monitoring programme of breeding populations of golden eagle is designed to cover all of Norway but is not able to cover all breeding territories (Mattisson et al. 2020). ## d.temp.res: BC: expressing both the metric and the references as ""densities"" may suggest an improved (more intuitive) scalability (more compatible with accounting principles) ## d.temp.aggr: Data on golden eagle nesting are assembled annually with various methods for diverse regions (incomplete national coverage). National population numbers can be estimated on an irregular basis (first estimate was 2010-2014, second for 2015-2019). ## d.spat.res: Data on golden eagle nesting are assembled annually with various methods for diverse regions (incomplete national coverage). National population numbers can be estimated on an irregular basis (first estimate was 2010-2014, second for 2015-2019)."
"opn";"fj.07";"f";"Jerv";"3";"MDir & NINA";"1990";"5";"fylke/region";"B1a";"B1a";"fb, fg";"p";"mod";"";"The indicator is the estimated number of individuals per mountain region.";"";" ### n53: just mountain ## d.startdate: The calculation is based on data from Rovdata (https://rovdata.no/). The dataset contains the number of individuals of wolverine in the large predator regions of Norway. The values for 2014 and 2019 are modelbased estimates from Bischof et al. (2019). The values for 1990, 2000 and 2010 are expert assessments in the form of predictions derived from a regression model of the number of annual reproductions. The data covers all wolverine habitats. ## d.temp.res: BC: expressing both the metric and the references as ""densities"" may suggest an improved (more intuitive) scalability (more compatible with accounting principles) ## d.spat.res: used to be 10 yrs before 2010"
"opn";"fj.06";"f";"Fjellrev";"3";"MDir & NINA";"2010";"1";"kommune";"B1a";"B1a";"fb, fg";"p";"sta (+mod)";"";"The indicator is a 3-year running mean for the number of reproductive individuals of Arctic fox in each municipality.";"";" ### n53: just mountain ## d.startdate: The number of reproductive individuals of Arctic fox in mountain areas of each municipality is based on estimates from a closed catch-release model with data on unique individuals in the national Arctic fox monitoring programme (2010-2019). Expert evaluation of observation and historic data before 2010. Visits to known den locations, combined with DNA-analyses and population modelling. See Eide et al. 2020. | The indicator is a 3-year running mean for the number of reproductive individuals of Arctic fox in each municipality. | The data cover all mountain areas with historic occurrence of Arctic fox. | All mountain areas (with occurrence of Arctic fox since 1950). Suitable habitat: low alpine and mid-alpine zones. ## d.temp.res: BC: expressing both the metric and the references as ""densities"" may suggest an improved (more intuitive) scalability (more compatible with accounting principles) ## d.temp.aggr: Older estimates also available (expert evaluation for 1950, observation-based for 1990, 2000, and 2010). ## d.spat.res: NB: temporal autocorrelation due to the moving average"
"opn";"fj.02";"f";"Rein";"3";"MDir & NINA";"2017";"1";"annet";"B1a";"B1a";"fb, fg, fs";"u";"mod";"tamrein og villrein";"The indicator is given as the density of wild or domestic reindeer for all defined reindeer areas based on the total populations within these areas and the size of the areas.";"other issues (o)";"The combination of an endangered wild animal and a domestic animal in a single indicator may make the interpretation of the values challenging. ### n51: EF: only relevant above forest limit ## n53: just mountain ## d.startdate: Population estimates are modelled as total numbers per predefined reindeer area (with georeferenced maps). Data come from slightly different sources, including direct counts and estimates for wild reindeer and reported figures for domestic reindeer. The model involves a Terrain Ruggedness Index, which is calculated from the 10 m DEM according to Riley et al. (1999). The indicator is given as the density of wild or domestic reindeer for all defined reindeer areas based on the total populations within these areas and the size of the areas. ## d.spat.res: Annually for domestic reindeer, sporadically for wild reindeer. ## d.them.scope: reindeer areas"
"opn";"sk.10";"Å";"Store hjortedyr";"1";"MDir & NINA";"1990";"1";"kommune";"B1a";"B1a, B3";"fb";"u";"mod";"økosystemtilordning må avklares";"The indicator is a composite index (‘elk equivalents’) for the estimated abundance of elk and red deer per municiplaity, adjusted for their metabolic weights.";"other issues (o)";" ### n41: EF: Combined indicator for all (open??) lowland (seminatural?) ETs ## n53: just lowland ## d.startdate: Population estimates of elk (Alces alces) and red deer (Cervus elaphus) are based on data from Hjorteviltregisteret (https://www.hjorteviltregisteret.no/), including hunting statistics from the whole country. The data are not based on a statistical sampling: all available observation and monitoring data are used in the estimation of population levels. The data for these deer species can be considered comprehensive. Data processing follows that of the Nature index (cf. Jakobsson & Pedersen 2020, www.naturindeks.no) ## d.spat.res: used to be 10 yrs before 2010 ## r.dir: n31 & n32 can't be distiguished ## r.hea: Currently, this indicator is treated differetly from other two-sided indicators: if the indicator estimate is lower than the reference value, the indicator is scaled towards the lower limit value, whereas indicator estimates higher than the reference value are scaled towards the upper limit value. Other two-sided indicators (Ellenberg F, Ellenberg N, and NDVI) are practically counted as ""two indicators"" in the aggregation of the Nature Index. Alternative approaches should be considered, especially in light of possible updated data (cf. Nybø et al. 2018, Framstad et al. 2021)."
"opn";"vs.11";"Å f";"Store beitedyr";"2";"NTNU (James Speed)";"1999";"10";"kommune";"B3";"B3, B1a, B1a, B2";"fb";"u";"mod";"";"The indicator compares the observed and expected biomass of ungulates (both wild and livestock), where the expectation is based on net primary production.";"";"expected biomass estimates are derived from global relationships between plants and vertebrate herbivores (Fløjgaard et al. 2022) | NIBIO: not relevant to include livestock in this indicator, particularly for natural ecosystems like forests; doubtful if global relationships are meaningful for specific ecosystem types ### r.dir: ALK: ""so"" for the NPP data, and ""cc"" for the herbivore data"
"opn";"vs.17";"j g h";"Dagsommerfugler";"3";"NINA (Jens Åström), NIBIO (3Q)";"2009";"1";"fylke/region";"B1b";"B1b, B1a";"bm";"p";"exp";"potensielt 2 variabler";"The indicator quantifies the observed deviation of abundance-weighted species numbers of butterflies from that of an ideal community defined by experts";"";" ### n31: EF: monitoring data will also cover egdes etc of cropland ## d.temp.res: BC: filled in based on the Farmland birds"
"opn";"vs.16";"j g h l k";"Humler";"3";"NINA (Jens Åström), NIBIO (3Q)";"2009";"1";"fylke/region";"B1b";"B1b, B1a";"bm";"p";"exp";"potensielt 2 variabler";"The indicator quantifies the observed deviation of abundance-weighted species numbers of bumblebees from that of an ideal community defined by experts";"";" ### n31: EF: monitoring data will also cover egdes etc of cropland ## d.temp.res: BC: filled in based on the Farmland birds"
"opn";"vs.48";"j g h";"Total insektsbiomasse";"2";"NINA (Jens Åström)";"2020";"5";"fylke/region";"B2";"B2, B1a, B1a";"fs";"p";"mod?";"";"The indicator expresses the total biomass of flying insects caught in malaise traps";"";" ### n31: EF: monitoring data will also cover egdes etc of cropland ## n41: Forests are so far only monitored in Østlandet ## d.startdate: BC: I have harmonised the ET assignments for all the NorIns indicators (assuming that 3Q will be similarøly relevant for all of them, and that they will eventually extend to all non-wetland lowland habitat types)"
"opn";"vs.45";"j g h";"Antall arter av pollinerende insekter";"3";"NINA (Jens Åström), NIBIO (3Q)";"2020";"5";"fylke/region";"B3";"B3, B1a, B1a";"fs";"p";"mod?";"";"The indicator expresses the number of species of pollinating insects caught in malaise and window traps";"";" ### n31: EF: monitoring data will also cover egdes etc of cropland ## n41: Forests are so far only monitored in Østlandet"
"opn";"vs.50";"g h";"Antall arter møkkbiller";"2";"NINA (Jens Åström)";"2020";"5";"fylke/region";"B3";"B3, B1a, B1a";"fs";"p";"mod?";"";"The indicator expresses the number of species of dung-associated insects caught in malaise and window traps";"";" ### n31: BC: dung beetles are not so much for (arable) cropland, they are more relevant for (grazed) grasslands ## n41: Forests are so far only monitored in Østlandet"
