et,lvl,gg,nn,nn_c2,st_max,st0.1,st0.2,st0.3,dir0.n.p,dir0.n.n,dir0.n.u,dir0.n.x,tsd,tsd_c2,trs,trs_c2,srs,srs_c2,etl0.cc,etl0.fo,etl0.so,etl0.lm,cpl_ok.n,cpl0.n.a,cpl0.n.ai,cpl0.n.aqi,cpl0.n.d,cpl0.n.dn,cpl0.n.e,cpl0.n.n,cpl0.n.o,cpl0.n.q,cpl0.n.qo,cpl0.n.r,cpl0.n.s,cpl0.n.sq,cpl0.n.t,cpl0.n.tq,cpl0.n.xd,cpl0.n.xt,ect_s.n,hosts,iid.n,dir_d.n,nm,nv,dir0.e.p,dir0.e.n,dir0.e.u,dir0.e.x,cpl_ok.e,cpl0.e.a,cpl0.e.ai,cpl0.e.aqi,cpl0.e.d,cpl0.e.dn,cpl0.e.e,cpl0.e.n,cpl0.e.o,cpl0.e.q,cpl0.e.qo,cpl0.e.r,cpl0.e.s,cpl0.e.sq,cpl0.e.t,cpl0.e.tq,cpl0.e.xd,cpl0.e.xt,ect_s.e,iid.e,dir_d.e,n,cpl_ok,cpl0.a,cpl0.ai,cpl0.aqi,cpl0.d,cpl0.dn,cpl0.e,cpl0.n,cpl0.o,cpl0.q,cpl0.qo,cpl0.r,cpl0.s,cpl0.sq,cpl0.t,cpl0.tq,cpl0.xd,cpl0.xt,dir0.p,dir0.n,dir0.u,dir0.x,ect_s,id,et_label
all,chr,A1 | Air physical quality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A2,!e.a2,n,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,A2,!e.a2,all: All ecosystem types
all,chr,A1 | Mean temperature,1,0,3,0,0,1,0,1,0,0,2019,0,5,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,B1a,MDir,fj.15,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,B1a,fj.15,all: All ecosystem types
all,chr,A1 | Permanent ice cover,1,0,3,0,0,1,1,0,0,0,1966,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,NVE,fj.16,p,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,e.g1,p,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,"e.g1, fj.16",all: All ecosystem types
all,chr,A1 | Soil physical quality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,C1,"!e.i1, e.a3",x,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,C1,"!e.i1, e.a3",all: All ecosystem types
all,chr,A1 | Water physical availability/permanence,5,3,2,0,5,0,2,2,1,0,2019,2019,1,1,8,8,0,5,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"B1a, B3","MDir, NIVA, Vannmiljø","HR2XSD, QMIN, VANNSTVAR, WIc, sk.03, vs.30",x,0,6,0,2,3,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,,"e.b3, e.e3, e.f1, e.h1, e.h2, e.j1",x,11,5,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,2,4,4,0,"B1a, B3","HR2XSD, QMIN, VANNSTVAR, WIc, e.b3, e.e3, e.f1, e.h1, e.h2, e.j1, sk.03, vs.30",all: All ecosystem types
all,chr,A1 | Water physical quality,1,1,2,0,1,0,1,0,0,0,0,0,1,1,9,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"A2, B3",Vannmiljø,SECCI,p,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A2,"e.i1, e.l1, e.m1",x,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"A2, B3","SECCI, e.i1, e.l1, e.m1",all: All ecosystem types
all,chr,A2 | Air chemical quality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,e.a4,n,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,e.a4,all: All ecosystem types
all,chr,A2 | Soil chemical quality,3,2,3,0,2,1,0,0,3,0,2019,2019,5,5,8,8,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,B1a,"MDir, NINA","fj.13, sk.02, vs.03, vs.41, vs.41b",u,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,e.b2,n,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0,B1a,"e.b2, fj.13, sk.02, vs.03, vs.41, vs.41b",all: All ecosystem types
all,chr,A2 | Soil organic carbon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"!e.b1, !e.c1, e.e4, e.f2",x,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,"!e.b1, !e.c1, e.e4, e.f2",all: All ecosystem types
all,chr,A2 | Water chemical quality: acidification,13,11,2,0,13,0,11,2,0,0,0,0,1,1,9,9,0,13,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B1a,"NINA, NIVA, Vannmiljø","AIP, AIndexW5, ANC, LACI-1, LACI-2, LAL, LAMI, MultiClear, PH, RAMI, Raddum-1, Raddum-2, SIc",p,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,e.m2,p,14,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,B1a,"AIP, AIndexW5, ANC, LACI-1, LACI-2, LAL, LAMI, MultiClear, PH, RAMI, Raddum-1, Raddum-2, SIc, e.m2",all: All ecosystem types
all,chr,A2 | Water chemical quality: eutrophication,15,11,2,0,15,0,7,8,0,0,0,0,1,1,9,9,0,15,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B1a,"NINA, NIVA, Vannmiljø","ASPT, Alegress, Blotbunnsfauna, EIndexW3, HBI2, N-NH3, N-SNOX, N-TOT, O2, P-PO4, P-TOT, PIT, PTI, RSL, TIc",x,0,8,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"e.h3, e.h4, e.j3, e.j4, e.k1, e.k2, e.l2, e.l3",x,23,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,B1a,"ASPT, Alegress, Blotbunnsfauna, EIndexW3, HBI2, N-NH3, N-SNOX, N-TOT, O2, P-PO4, P-TOT, PIT, PTI, RSL, TIc, e.h3, e.h4, e.j3, e.j4, e.k1, e.k2, e.l2, e.l3",all: All ecosystem types
all,chr,A2 | Water chemical quality: other pollutants,1,1,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Vann-nett,overall chemical status,x,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,A2,"e.j6, e.k3",x,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,A2,"e.j6, e.k3, overall chemical status",all: All ecosystem types
all,chr,B1a B1b | Fish++ abundance,6,4,2,0,6,0,4,1,0,0,0,0,1,1,9,9,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,"NINA, Vannmiljø","Cpue_BrownTrout, Cpue_juveniles, EMANTLLE, FIBESTE, NEFI, WS-FBI",p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,,"Cpue_BrownTrout, Cpue_juveniles, EMANTLLE, FIBESTE, NEFI, WS-FBI",all: All ecosystem types
all,chr,B1a | Birds abundance,3,3,3,0,0,3,3,0,0,0,2010,2010,1,1,8,8,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"MDir, NINA","fj.04, fj.05, fj.08",p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,"fj.04, fj.05, fj.08",all: All ecosystem types
all,chr,B1a | Insect abundance,1,1,2,0,1,0,1,0,0,0,2020,2020,5,5,8,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B2,NINA,vs.48,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,B2,vs.48,all: All ecosystem types
all,chr,B1a | Invasive species abundance,1,1,3,0,0,1,1,0,0,0,2019,2019,5,5,8,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MDir,"fj.09, sk.04, vs.29",p,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,"e.g2, e.m4",n,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,,"e.g2, e.m4, fj.09, sk.04, vs.29",all: All ecosystem types
all,chr,B1a | Mammals abundance,6,4,3,0,0,6,4,0,2,0,1990,1990,1,1,7,7,6,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,B3,"MDir, NINA","fj.02, fj.03, fj.06, fj.07, sk.10, sk.11",p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,6,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,2,0,B3,"fj.02, fj.03, fj.06, fj.07, sk.10, sk.11",all: All ecosystem types
all,chr,B1a | Plants abundance,2,2,3,0,0,2,2,0,0,0,1994,1994,5,5,8,8,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B2,NIBIO,"sk.05, sk.06",p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,B2,"sk.05, sk.06",all: All ecosystem types
all,chr,B1b | Birds diversity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,,"!e.d1, e.e5, e.f3, e.h5, e.i3",x,6,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,,"!e.d1, e.e5, e.f3, e.h5, e.i3",all: All ecosystem types
all,chr,B1b | Fish diversity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,"e.j8, e.k5",x,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,"e.j8, e.k5",all: All ecosystem types
all,chr,B1b | Insects diversity,5,3,2,0,5,0,4,0,0,0,2009,2020,1,5,8,8,0,4,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"B2, B3",NINA,"vs.16, vs.17, vs.37, vs.38, vs.47, vs.50, vs.52",p,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,e.c4,p,6,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,5,0,0,0,"B2, B3","e.c4, vs.16, vs.17, vs.37, vs.38, vs.47, vs.50, vs.52",all: All ecosystem types
all,chr,B1b | Overall compositional status,1,0,3,0,0,1,1,0,0,0,1990,0,5,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"MDir, NINA","fj.12, sk.12, vs.06",p,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,"e.i2, e.j9, e.k6, e.l5, e.m3",x,6,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,,"e.i2, e.j9, e.k6, e.l5, e.m3, fj.12, sk.12, vs.06",all: All ecosystem types
