et,lvl,gg,nn,nn_c1,nn_p2,nn_p1p,nn_c2p,st_max,st0.1,st0.2,st0.3,dir0.n.p,dir0.n.n,dir0.n.u,dir0.n.x,tsd,tsd_c2p,trs,trs_c2p,trs0.y1,trs0.y3,trs0.y5,trs0.y10,trs0.yInf,trs0.NA,srs,srs_c2p,srs0.g1,srs0.g2,srs0.g3,srs0.g4,srs0.g5,srs0.g6,srs0.p1,srs0.p2,srs0.pp,srs0.px,srs0.NA,etl0.cc,etl0.fo,etl0.so,etl0.lm,etl0.na,cpl_ok.n,ect_s.n,hosts,iid.n,dir_d.n,nm,nv,dir0.e.p,dir0.e.n,dir0.e.u,dir0.e.x,cpl_ok.e,ect_s.e,iid.e,dir_d.e,n,cpl_ok,cpl0.a,cpl0.d,cpl0.e,cpl0.i,cpl0.n,cpl0.o,cpl0.q,cpl0.r,cpl0.s,cpl0.t,cpl0.x,dir0.p,dir0.n,dir0.u,dir0.x,dir_d,ect_s,iid
all,chr,A1 | Air physical quality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,0,2,0,0,2,A2,!e.01.2,n,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,n,A2,!e.01.2
all,chr,A1 | Mean temperature,1,1,1,0,0,3,0,0,1,0,1,0,0,2019,0,1,0,1,0,0,0,0,0,p2,NA,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,B1a,MDir,fj.15,n,0,0,0,0,0,0,0,,,,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,,B1a,fj.15
all,chr,A1 | Permanent ice cover,1,1,1,0,0,3,0,0,1,1,0,0,0,1966,0,Inf,0,0,0,0,0,1,0,px,NA,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,NVE,fj.16,p,0,2,2,0,0,0,2,,e.06.1,p,3,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,p,,"e.06.1, fj.16"
all,chr,A1 | Soil physical quality,1,1,1,0,0,2,0,1,0,0,1,0,0,2006,0,3,0,0,1,0,0,0,0,g2,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"B2, C1",Copernicus,ur.01,n,1,11,0,12,0,0,2,"A2, B3, C1, X","!e.11.1, e.01.3, e.02.5, e.03.3, e.03.4, e.11.2",n,13,2,0,1,1,2,0,1,0,0,1,1,2,0,13,0,0,n,"A2, B2, B3, C1, X","!e.11.1, e.01.3, e.02.5, e.03.3, e.03.4, e.11.2, ur.01"
all,chr,A1 | Water physical availability/permanence,5,5,5,3,3,3,0,4,1,2,2,1,0,2019,2019,1,1,5,0,0,0,0,0,p2,p2,0,0,0,0,0,0,0,1,4,0,0,0,5,0,0,0,3,"B1a, B3","MDir, NIVA, Vannmiljø","HR2XSD, QMIN, VANNSTVAR, WIc, sk.03, vs.30",x,0,10,0,4,6,0,6,"B3, X","e.02.4, e.04.3, e.05.1, e.07.1, e.08.1",x,15,9,0,1,0,1,1,0,1,0,1,1,0,2,6,7,0,u,"B1a, B3, X","HR2XSD, QMIN, VANNSTVAR, WIc, e.02.4, e.04.3, e.05.1, e.07.1, e.08.1, sk.03, vs.30"
all,chr,A1 | Water physical quality,1,1,1,1,1,2,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,pp,pp,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"A2, B3",Vannmiljø,SECCI,p,0,4,0,2,2,0,2,A2,"e.12.1, e.12.7",x,5,3,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,x,"A2, B3","SECCI, e.12.1, e.12.7"
all,chr,A2 | Air chemical quality,1,1,1,1,1,2,0,1,0,0,1,0,0,2018,2018,1,1,1,0,0,0,0,0,p1,p1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,,Copernicus,ur.04,n,0,2,0,2,0,0,2,,e.01.4,n,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,n,,"e.01.4, ur.04"
all,chr,A2 | Overall water quality,1,1,1,0,0,2,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,pp,NA,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,Vann-nett,overall chemical status,n,0,8,8,0,0,0,0,"A2, B3, X","e.08.5, e.09.3, e.09.7, e.11.5",p,9,0,0,0,0,2,0,0,4,0,2,0,0,8,1,0,0,p,"A2, B3, X","e.08.5, e.09.3, e.09.7, e.11.5, overall chemical status"
all,chr,A2 | Soil chemical quality,3,3,3,2,2,3,0,2,1,0,0,3,0,2019,2019,1,1,3,0,0,0,0,0,p2,p2,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,2,B1a,"MDir, NINA","fj.13, sk.02, vs.03, vs.41, vs.41b",u,0,2,0,2,0,0,0,,e.02.3,n,5,2,0,1,0,0,0,0,1,0,0,0,1,0,2,3,0,n,B1a,"e.02.3, fj.13, sk.02, vs.03, vs.41, vs.41b"
all,chr,A2 | Soil organic carbon,3,3,1,3,1,2,2,1,0,1,1,1,0,2024,0,1,1,3,0,0,0,0,0,p2,pp,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,3,,"NIBIO, NIVA, Vannmiljø","TOC63, nb.12, nb.13",x,2,6,8,0,0,0,8,,"!e.02.1, !e.03.1, e.04.4, e.05.2",p,11,11,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,p,,"!e.02.1, !e.03.1, TOC63, e.04.4, e.05.2, nb.12, nb.13"
all,chr,A2 | Water chemical quality: acidification,13,13,13,11,11,2,0,13,0,11,2,0,0,0,0,1,1,13,0,0,0,0,0,pp,pp,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,11,B1a,"NINA, NIVA, Vannmiljø","AIP, AIndexW5, ANC, LACI-1, LACI-2, LAL, LAMI, MultiClear, PH, RAMI, Raddum-1, Raddum-2, SIc",p,0,2,2,0,0,0,2,,e.12.2,p,15,13,2,0,0,0,0,0,0,0,0,0,0,13,2,0,0,p,B1a,"AIP, AIndexW5, ANC, LACI-1, LACI-2, LAL, LAMI, MultiClear, PH, RAMI, Raddum-1, Raddum-2, SIc, e.12.2"
all,chr,A2 | Water chemical quality: eutrophication,15,15,15,14,14,2,0,15,0,7,8,0,0,0,0,1,1,15,0,0,0,0,0,pp,pp,0,0,0,0,0,0,0,0,15,0,0,0,15,0,0,0,14,B1a,"NINA, NIVA, Vannmiljø","ASPT, EIndexW3, HBI2, ISI, N-NH3, N-NH4, N-SNOX, N-TOT, NQI1, NSI, O-METN, O2, P-PO4, P-TOT, PIT, PTI, TIc",x,0,12,0,12,0,0,12,,"e.08.2, e.08.3, e.09.1, e.09.2, e.10.1, e.10.2",n,27,26,1,0,0,0,0,0,0,0,0,0,0,7,20,0,0,n,B1a,"ASPT, EIndexW3, HBI2, ISI, N-NH3, N-NH4, N-SNOX, N-TOT, NQI1, NSI, O-METN, O2, P-PO4, P-TOT, PIT, PTI, TIc, e.08.2, e.08.3, e.09.1, e.09.2, e.10.1, e.10.2"
all,chr,B1a B1b | Birds abundance & diversity,7,7,5,7,5,3,2,2,3,7,0,0,0,2010,2010,1,1,6,0,1,0,0,0,p2,p2,0,0,0,0,0,0,0,6,0,1,0,7,0,0,0,0,7,B1b,"BirdLife Norge, MDir, Mdir, Mdir/NINA, NIBIO, NINA","fj.04, fj.05, fj.08, nb.17, nb.18, vs.13, vs.18",p,2,12,14,0,0,0,0,B1b,"!e.02.2, !e.03.2, e.04.10, e.04.5, e.05.3, e.07.2, e.11.4",p,21,7,0,0,0,0,0,0,4,1,0,0,0,21,0,0,0,p,B1b,"!e.02.2, !e.03.2, e.04.10, e.04.5, e.05.3, e.07.2, e.11.4, fj.04, fj.05, fj.08, nb.17, nb.18, vs.13, vs.18"
all,chr,B1a B1b | Fish abundance & diversity,5,5,5,3,3,2,0,5,0,4,1,0,0,0,0,1,1,5,0,0,0,0,0,pp,pp,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,3,,"NINA, Vannmiljø","Cpue_BrownTrout, Cpue_juveniles, FIBESTE, NEFI, WS-FBI",p,0,4,4,0,0,0,0,,"e.08.7, e.09.5",p,9,3,0,0,0,0,0,0,1,0,0,2,0,8,1,0,0,p,,"Cpue_BrownTrout, Cpue_juveniles, FIBESTE, NEFI, WS-FBI, e.08.7, e.09.5"
all,chr,B1a B1b | Insect abundance & diversity,5,5,5,3,3,2,0,5,0,5,0,0,0,2009,2020,1,5,2,0,3,0,0,0,p2,p2,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,3,"B2, B3",NINA,"vs.16, vs.17, vs.37, vs.38, vs.47, vs.48, vs.50",p,0,2,2,0,0,0,0,B1b,e.03.5,p,7,3,0,0,0,0,0,2,1,0,0,0,0,7,0,0,0,p,"B1b, B2, B3","e.03.5, vs.16, vs.17, vs.37, vs.38, vs.47, vs.48, vs.50"
all,chr,B1a B1b | Zoobenthos abundance & diversity,3,3,3,2,2,2,0,3,0,2,0,0,0,0,0,1,1,3,0,0,0,0,0,pp,pp,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,2,,"NINA, NIVA, Vannmiljø","EMANTLLE, ES100, MBH",p,0,0,0,0,0,0,0,,,,3,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,p,,"EMANTLLE, ES100, MBH"
all,chr,B1a | Invasive species abundance,2,2,1,2,1,3,1,0,1,1,1,0,0,2000,2019,1,1,2,0,0,0,0,0,p2,p2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,,"MDir, NIBIO","fj.09, nb.10, sk.04, vs.29",x,0,4,0,4,0,0,0,,"e.06.2, e.12.4",n,6,2,0,0,0,0,1,0,0,1,0,0,0,1,5,0,0,n,,"e.06.2, e.12.4, fj.09, nb.10, sk.04, vs.29"
all,chr,B1a | Mammals abundance,6,6,6,4,4,3,0,0,6,4,0,2,0,1990,1990,1,1,5,0,1,0,0,0,p1,p1,0,0,0,0,0,0,2,3,0,1,0,6,0,0,0,0,4,B3,"MDir, NINA","fj.02, fj.03, fj.06, fj.07, sk.10, sk.11",p,0,0,0,0,0,0,0,,,,6,4,0,0,0,0,0,2,0,0,0,0,0,4,0,2,0,p,B3,"fj.02, fj.03, fj.06, fj.07, sk.10, sk.11"
all,chr,B1a | Plants abundance,5,5,3,3,2,3,2,1,2,5,0,0,0,1990,1994,1,1,5,0,0,0,0,0,p2,p2,0,0,0,0,0,0,0,3,1,0,1,0,5,0,0,0,3,"B1a, B2","NIBIO, NIVA, Vannmiljø","RSL, RSLA, komboindeksen, nb.09, sk.05, sk.06",p,0,0,0,0,0,0,0,,,,5,3,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,p,"B1a, B2","RSL, RSLA, komboindeksen, nb.09, sk.05, sk.06"
all,chr,"B2 | Deadwood, litter",4,4,2,4,2,3,2,0,2,3,0,1,0,2010,2010,1,1,4,0,0,0,0,0,p2,p2,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,4,"B1a, B1b",NIBIO,"nb.01, nb.02, sk.07, sk.08",p,1,1,2,0,0,0,2,,!e.04.1,p,6,6,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,p,"B1a, B1b","!e.04.1, nb.01, nb.02, sk.07, sk.08"
all,chr,B2 | Phytoplankton density,4,4,4,4,4,2,0,4,0,2,2,0,0,0,0,1,1,4,0,0,0,0,0,pp,pp,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,"A1, B1a, B3","NIVA, Vannmiljø","KLFA, MPNEQR_E, MSMDI, PPBIOMTOVO",x,0,6,0,6,0,0,0,B3,"e.08.4, e.09.4, e.10.3",n,10,4,0,1,0,0,0,0,0,0,0,0,0,2,8,0,0,n,"A1, B1a, B3","KLFA, MPNEQR_E, MSMDI, PPBIOMTOVO, e.08.4, e.09.4, e.10.3"
