i.id0,kat,i.name.en,i.vmvars,pass,s_1_1_1_1,s_1_1_1_3,s_1_1_1_5,s_1_1_2_1,s_1_1_2_3,s_1_1_2_5,s_1_1_3_1,s_1_1_3_3,s_1_1_3_5,s_1_1_5_1,s_1_1_5_3,s_1_1_5_5,s_1_2_1_1,s_1_2_1_3,s_1_2_1_5,s_1_2_2_1,s_1_2_2_3,s_1_2_2_5,s_1_2_3_1,s_1_2_3_3,s_1_2_3_5,s_1_2_5_1,s_1_2_5_3,s_1_2_5_5,s_1_3_1_1,s_1_3_1_3,s_1_3_1_5,s_1_3_2_1,s_1_3_2_3,s_1_3_2_5,s_1_3_3_1,s_1_3_3_3,s_1_3_3_5,s_1_3_5_1,s_1_3_5_3,s_1_3_5_5,s_1_5_1_1,s_1_5_1_3,s_1_5_1_5,s_1_5_2_1,s_1_5_2_3,s_1_5_2_5,s_1_5_3_1,s_1_5_3_3,s_1_5_3_5,s_1_5_5_1,s_1_5_5_3,s_1_5_5_5,s_2_1_1_1,s_2_1_1_3,s_2_1_1_5,s_2_1_2_1,s_2_1_2_3,s_2_1_2_5,s_2_1_3_1,s_2_1_3_3,s_2_1_3_5,s_2_1_5_1,s_2_1_5_3,s_2_1_5_5,s_2_2_1_1,s_2_2_1_3,s_2_2_1_5,s_2_2_2_1,s_2_2_2_3,s_2_2_2_5,s_2_2_3_1,s_2_2_3_3,s_2_2_3_5,s_2_2_5_1,s_2_2_5_3,s_2_2_5_5,s_2_3_1_1,s_2_3_1_3,s_2_3_1_5,s_2_3_2_1,s_2_3_2_3,s_2_3_2_5,s_2_3_3_1,s_2_3_3_3,s_2_3_3_5,s_2_3_5_1,s_2_3_5_3,s_2_3_5_5,s_2_5_1_1,s_2_5_1_3,s_2_5_1_5,s_2_5_2_1,s_2_5_2_3,s_2_5_2_5,s_2_5_3_1,s_2_5_3_3,s_2_5_3_5,s_2_5_5_1,s_2_5_5_3,s_2_5_5_5,s_3_1_1_1,s_3_1_1_3,s_3_1_1_5,s_3_1_2_1,s_3_1_2_3,s_3_1_2_5,s_3_1_3_1,s_3_1_3_3,s_3_1_3_5,s_3_1_5_1,s_3_1_5_3,s_3_1_5_5,s_3_2_1_1,s_3_2_1_3,s_3_2_1_5,s_3_2_2_1,s_3_2_2_3,s_3_2_2_5,s_3_2_3_1,s_3_2_3_3,s_3_2_3_5,s_3_2_5_1,s_3_2_5_3,s_3_2_5_5,s_3_3_1_1,s_3_3_1_3,s_3_3_1_5,s_3_3_2_1,s_3_3_2_3,s_3_3_2_5,s_3_3_3_1,s_3_3_3_3,s_3_3_3_5,s_3_3_5_1,s_3_3_5_3,s_3_3_5_5,s_3_5_1_1,s_3_5_1_3,s_3_5_1_5,s_3_5_2_1,s_3_5_2_3,s_3_5_2_5,s_3_5_3_1,s_3_5_3_3,s_3_5_3_5,s_3_5_5_1,s_3_5_5_3,s_3_5_5_5,s_5_1_1_1,s_5_1_1_3,s_5_1_1_5,s_5_1_2_1,s_5_1_2_3,s_5_1_2_5,s_5_1_3_1,s_5_1_3_3,s_5_1_3_5,s_5_1_5_1,s_5_1_5_3,s_5_1_5_5,s_5_2_1_1,s_5_2_1_3,s_5_2_1_5,s_5_2_2_1,s_5_2_2_3,s_5_2_2_5,s_5_2_3_1,s_5_2_3_3,s_5_2_3_5,s_5_2_5_1,s_5_2_5_3,s_5_2_5_5,s_5_3_1_1,s_5_3_1_3,s_5_3_1_5,s_5_3_2_1,s_5_3_2_3,s_5_3_2_5,s_5_3_3_1,s_5_3_3_3,s_5_3_3_5,s_5_3_5_1,s_5_3_5_3,s_5_3_5_5,s_5_5_1_1,s_5_5_1_3,s_5_5_1_5,s_5_5_2_1,s_5_5_2_3,s_5_5_2_5,s_5_5_3_1,s_5_5_3_3,s_5_5_3_5,s_5_5_5_1,s_5_5_5_3,s_5_5_5_5
NQI1,C,Norwegian quality index for soft bottom fauna,"NQI1_MID, NQI1",0.9947916666666666,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
ISI,C,Indicator species index for soft bottom fauna,"ISI_MID, ISI",0.9947916666666666,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
SECCI,C,Secchi depth,SECCI,0.9791666666666666,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
ES100,C,Hurlberts index of marine soft bottom fauna,"ES100_MID, ES100",0.7760416666666666,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
MBNEQR,C,Normalized EQR for marine soft bottom fauna,"MBNEQR_MID, MBNEQR",0.5989583333333334,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
MSMDI,C,Lower growth limit index for macroalgae (MSMDI),"MSMDI1, MSMDI2, MSMDI3, MANVGR",0.17708333333333334,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RSLA, RSL",C,"Macroalgae littoral indices (RSLA, RSL)","MAEQR_E, MANEQR_E, RSLA 1, RSLA 2, RSLA 3, RSL 4, RSL 5, MATETHAR",0.09375,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOC63,C,Normalized total organic carbon (TOC) in sediment,"TOC, FINS",0.078125,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTIZM,C,Eelgrass index of eutrophication,"ANTIZM, ANNVGR, ANDEKNSK, MBDEKNSK",0.06770833333333333,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fjærepotensiale,C,fjærepotensiale,"BF, DF, AF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VANNSTVAR,L,Water level changes in lakes,VANNSTVAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR2XSD,L,Water level changes in lakes related to Secchi-depth,HR2XSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SECCI,L,Secchi depth,SECCI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
